Country1,Country2,Correlation
Brazil,Canada,0.9767738085769296
Brazil,France,0.927682551736857
Brazil,India,0.9823097366322336
Brazil,Italy,0.9256100065942556
Brazil,Russia,0.9707305166883922
Brazil,US,0.9853595662200788
Canada,France,0.9816471056347496
Canada,Germany,0.9559302568104232
Canada,India,0.9357901019041586
Canada,Italy,0.976854899101884
Canada,Russia,0.9958281112459936
Canada,US,0.9962901127538272
China,France,0.9182773619892955
China,Germany,0.950469366680708
China,Italy,0.932396648991494
France,Germany,0.991784949975577
France,Italy,0.997739506454978
France,Russia,0.9838973700307428
France,US,0.967869405279808
Germany,Italy,0.9946516690982636
Germany,Russia,0.9630198737702672
Germany,US,0.9372002976747515
India,Russia,0.9240412729364068
India,US,0.9483461378145096
Italy,Russia,0.9788495190489876
Italy,US,0.9639442273540084
Russia,US,0.992326445259498
